item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_100,English (American),WS,word,food_drink,chicken,chicken,chicken,1,0,0,0,0,nouns,,food,,no,23
item_101,English (American),WS,word,food_drink,chocolate,chocolate,chocolate,0,1,0,0,0,nouns,,,,no,25
item_102,English (American),WS,word,food_drink,coffee,coffee,coffee,0,1,0,0,0,nouns,,,,no,26
item_103,English (American),WS,word,food_drink,coke,coke,coke,0,1,0,0,0,nouns,,,,no,30
item_104,English (American),WS,word,food_drink,cookie,cookie,cookie,0,1,0,0,0,nouns,,,,no,19
item_105,English (American),WS,word,food_drink,corn,corn,corn,0,1,0,0,0,nouns,,,,no,25
item_106,English (American),WS,word,food_drink,cracker,cracker,cracker,0,1,0,0,0,nouns,,,,no,21
item_107,English (American),WS,word,food_drink,donut,donut,pastry,0,1,0,0,0,nouns,,,,no,27
item_108,English (American),WS,word,food_drink,drink,drink,drink,0,1,0,0,0,nouns,,beverage,,no,23
item_109,English (American),WS,word,food_drink,egg,egg,egg,0,1,0,0,0,nouns,,,,no,23
item_110,English (American),WS,word,food_drink,fish,fish,fish,1,0,0,0,0,nouns,,food,,no,24
item_111,English (American),WS,word,food_drink,food,food,food,0,1,0,0,0,nouns,,,,no,24
item_113,English (American),WS,word,food_drink,grapes,grapes,grapes,0,1,0,0,0,nouns,,,,no,23
item_115,English (American),WS,word,food_drink,gum,gum,gum,0,1,0,0,0,nouns,,,,no,29
item_116,English (American),WS,word,food_drink,hamburger,hamburger,hamburger,0,1,0,0,0,nouns,,,,no,26
item_117,English (American),WS,word,food_drink,ice,ice,ice,0,1,0,0,0,nouns,,,,no,24
item_119,English (American),WS,word,food_drink,jello,jello,jello,0,1,0,0,0,nouns,,,,no,29
item_120,English (American),WS,word,food_drink,jelly,jelly,jelly,0,1,0,0,0,nouns,,,,no,28
