object_name,true_positives,false_positives,false_negatives,count,precision,recall,f_score
watch,12,1,1,14,0.9230769230769231,0.9230769230769231,0.9230769230769231
window,6,1,0,7,0.8571428571428571,1,0.923076923076923
plant,19,2,2,23,0.9047619047619048,0.9047619047619048,0.9047619047619048
clock,4,1,0,5,0.8,1,0.888888888888889
pillow,60,5,10,75,0.9230769230769231,0.8571428571428571,0.888888888888889
purse,10,3,0,13,0.7692307692307693,1,0.8695652173913044
person,170,23,33,226,0.8808290155440415,0.8374384236453202,0.8585858585858585
tv,22,1,8,31,0.9565217391304348,0.7333333333333333,0.8301886792452831
bottle,64,12,15,91,0.8421052631578947,0.810126582278481,0.8258064516129032
lamp,54,11,15,80,0.8307692307692308,0.782608695652174,0.8059701492537313
couch,30,15,3,48,0.6666666666666666,0.9090909090909091,0.7692307692307692
chair,71,21,24,116,0.7717391304347826,0.7473684210526316,0.7593582887700535
radio,3,0,2,5,1,0.6,0.7499999999999999
hand,4,1,2,7,0.8,0.6666666666666666,0.7272727272727272
room,4,1,2,7,0.8,0.6666666666666666,0.7272727272727272
refrigerator,7,0,6,13,1,0.5384615384615384,0.7000000000000001
picture,82,61,10,153,0.5734265734265734,0.8913043478260869,0.697872340425532
bed,15,0,13,28,1,0.5357142857142857,0.6976744186046512
book,53,33,13,99,0.6162790697674418,0.803030303030303,0.6973684210526315
table,42,26,11,79,0.6176470588235294,0.7924528301886793,0.6942148760330579
cup,42,10,28,80,0.8076923076923077,0.6,0.6885245901639345
bowl,38,12,23,73,0.76,0.6229508196721312,0.6846846846846847
apple,5,1,4,10,0.8333333333333334,0.5555555555555556,0.6666666666666667
dog,3,1,2,6,0.75,0.6,0.6666666666666665
sink,10,1,10,21,0.9090909090909091,0.5,0.6451612903225806
napkin,6,0,7,13,1,0.46153846153846156,0.631578947368421
spoon,14,15,2,31,0.4827586206896552,0.875,0.6222222222222222
towel,12,12,5,29,0.5,0.7058823529411765,0.5853658536585366
bucket,11,10,6,27,0.5238095238095238,0.6470588235294118,0.5789473684210527
bench,2,0,3,5,1,0.4,0.5714285714285715
hat,4,0,6,10,1,0.4,0.5714285714285715
glasses,5,0,8,13,1,0.38461538461538464,0.5555555555555556
box,16,22,5,43,0.42105263157894735,0.7619047619047619,0.5423728813559322
crib,5,5,4,14,0.5,0.5555555555555556,0.5263157894736842
door,14,23,3,40,0.3783783783783784,0.8235294117647058,0.5185185185185186
car,3,6,0,9,0.3333333333333333,1,0.5
diaper,2,0,4,6,1,0.3333333333333333,0.5
oven,2,0,4,6,1,0.3333333333333333,0.5
paper,2,4,0,6,0.3333333333333333,1,0.5
tissue,4,6,2,12,0.4,0.6666666666666666,0.5
toy,67,112,23,202,0.3743016759776536,0.7444444444444445,0.49814126394052044
basket,12,19,10,41,0.3870967741935484,0.5454545454545454,0.45283018867924524
blanket,5,10,4,19,0.3333333333333333,0.5555555555555556,0.4166666666666667
slipper,5,0,14,19,1,0.2631578947368421,0.4166666666666667
shoe,2,4,2,8,0.3333333333333333,0.5,0.4
tray,2,6,1,9,0.25,0.6666666666666666,0.36363636363636365
belt,1,4,0,5,0.2,1,0.33333333333333337
cake,1,0,4,5,1,0.2,0.33333333333333337
present,1,0,4,5,1,0.2,0.33333333333333337
shovel,2,0,8,10,1,0.2,0.33333333333333337
teddybear,5,0,20,25,1,0.2,0.33333333333333337
vacuum,1,0,4,5,1,0.2,0.33333333333333337
flower,1,2,2,5,0.3333333333333333,0.3333333333333333,0.3333333333333333
pumpkin,2,4,4,10,0.3333333333333333,0.3333333333333333,0.3333333333333333
plate,8,28,6,42,0.2222222222222222,0.5714285714285714,0.32
knife,1,0,5,6,1,0.16666666666666666,0.2857142857142857
sandbox,1,0,5,6,1,0.16666666666666666,0.2857142857142857
frog,1,0,6,7,1,0.14285714285714285,0.25
can,3,5,16,24,0.375,0.15789473684210525,0.22222222222222218
crayon,3,0,35,38,1,0.07894736842105263,0.14634146341463414
drawer,4,51,0,55,0.07272727272727272,1,0.13559322033898305
light,1,16,0,17,0.058823529411764705,1,0.1111111111111111
sock,1,20,1,22,0.047619047619047616,0.5,0.08695652173913042
ball,1,29,0,30,0.03333333333333333,1,0.06451612903225806
boots,0,0,5,5,NA,0,0
doll,0,9,3,12,0,0,0
potty,0,0,5,5,NA,0,0
train,0,6,1,7,0,0,0
